208694,1,-
208695,1,-
208655,1,-
208697,1,-
208666,1,-
208653,1,-
208687,1,-
208676,1,-
208672,1,-
208667,1,-
208680,1,-
208700,1,-
208699,1,-
208682,1,-
208684,1,-
208686,1,-
208693,1,-
208678,1,-
208691,1,-
208689,1,-
208677,1,-
208658,1,-
208665,1,-
208688,1,-
208652,1,-
208670,1,-
208698,1,-
208668,1,-
208651,1,-
208690,1,-
208659,1,-
208662,1,-
208685,1,-
208656,1,-
208663,1,-
208660,1,-
208692,1,-
208654,1,-
208661,1,-
208664,1,-
208679,1,-
208683,1,-
208669,1,-
208674,1,-
208673,1,-
208681,1,-
208675,1,-
208657,1,-
208671,1,-
208696,1,-
11321,3,Accommodation Vessel
11314,3,Accommodation Vessel
11346,3,Accommodation Vessel
11335,3,Accommodation Vessel
11343,3,Accommodation Vessel
11338,3,Accommodation Vessel
11342,3,Accommodation Vessel
11347,3,Accommodation Vessel
11331,3,Accommodation Vessel
11316,3,Accommodation Vessel
11345,3,Accommodation Vessel
11339,3,Accommodation Vessel
11308,3,Accommodation Vessel
11340,3,Accommodation Vessel
11349,3,Accommodation Vessel
11325,3,Accommodation Vessel
11310,3,Accommodation Vessel
11326,3,Accommodation Vessel
11348,3,Accommodation Vessel
11307,3,Accommodation Vessel
11304,3,Accommodation Vessel
11320,3,Accommodation Vessel
11317,3,Accommodation Vessel
11311,3,Accommodation Vessel
11306,3,Accommodation Vessel
11309,3,Accommodation Vessel
11341,3,Accommodation Vessel
11318,3,Accommodation Vessel
11327,3,Accommodation Vessel
11337,3,Accommodation Vessel
11302,3,Accommodation Vessel
11313,3,Accommodation Vessel
11328,3,Accommodation Vessel
11301,3,Accommodation Vessel
11336,3,Accommodation Vessel
11333,3,Accommodation Vessel
11329,3,Accommodation Vessel
11303,3,Accommodation Vessel
11305,3,Accommodation Vessel
11332,3,Accommodation Vessel
11319,3,Accommodation Vessel
11324,3,Accommodation Vessel
11322,3,Accommodation Vessel
11312,3,Accommodation Vessel
11330,3,Accommodation Vessel
11315,3,Accommodation Vessel
11350,3,Accommodation Vessel
11344,3,Accommodation Vessel
11323,3,Accommodation Vessel
11334,3,Accommodation Vessel
50761,4,Anchor Handling Vessel
220915,4,Anchor Handling Vessel
50771,4,Anchor Handling Vessel
151325,4,Anchor Handling Vessel
151305,4,Anchor Handling Vessel
159956,4,Anchor Handling Vessel
220929,4,Anchor Handling Vessel
44548,4,Anchor Handling Vessel
159990,4,Anchor Handling Vessel
220913,4,Anchor Handling Vessel
50763,4,Anchor Handling Vessel
50779,4,Anchor Handling Vessel
159977,4,Anchor Handling Vessel
159974,4,Anchor Handling Vessel
159963,4,Anchor Handling Vessel
50774,4,Anchor Handling Vessel
159995,4,Anchor Handling Vessel
50751,4,Anchor Handling Vessel
44538,4,Anchor Handling Vessel
159997,4,Anchor Handling Vessel
220917,4,Anchor Handling Vessel
220910,4,Anchor Handling Vessel
50777,4,Anchor Handling Vessel
159957,4,Anchor Handling Vessel
220936,4,Anchor Handling Vessel
44505,4,Anchor Handling Vessel
159954,4,Anchor Handling Vessel
151320,4,Anchor Handling Vessel
50769,4,Anchor Handling Vessel
44540,4,Anchor Handling Vessel
159966,4,Anchor Handling Vessel
151338,4,Anchor Handling Vessel
151303,4,Anchor Handling Vessel
50759,4,Anchor Handling Vessel
151348,4,Anchor Handling Vessel
151337,4,Anchor Handling Vessel
151315,4,Anchor Handling Vessel
44528,4,Anchor Handling Vessel
44525,4,Anchor Handling Vessel
44513,4,Anchor Handling Vessel
44539,4,Anchor Handling Vessel
151335,4,Anchor Handling Vessel
44529,4,Anchor Handling Vessel
220914,4,Anchor Handling Vessel
220923,4,Anchor Handling Vessel
50783,4,Anchor Handling Vessel
220925,4,Anchor Handling Vessel
151313,4,Anchor Handling Vessel
151322,4,Anchor Handling Vessel
151310,4,Anchor Handling Vessel
320223,5,Articulated Pusher Tug
320206,5,Articulated Pusher Tug
320237,5,Articulated Pusher Tug
320222,5,Articulated Pusher Tug
320240,5,Articulated Pusher Tug
320229,5,Articulated Pusher Tug
320225,5,Articulated Pusher Tug
320217,5,Articulated Pusher Tug
320213,5,Articulated Pusher Tug
320249,5,Articulated Pusher Tug
320233,5,Articulated Pusher Tug
320210,5,Articulated Pusher Tug
320207,5,Articulated Pusher Tug
320205,5,Articulated Pusher Tug
320216,5,Articulated Pusher Tug
320228,5,Articulated Pusher Tug
320232,5,Articulated Pusher Tug
320236,5,Articulated Pusher Tug
320238,5,Articulated Pusher Tug
320201,5,Articulated Pusher Tug
320221,5,Articulated Pusher Tug
320220,5,Articulated Pusher Tug
320227,5,Articulated Pusher Tug
320235,5,Articulated Pusher Tug
320234,5,Articulated Pusher Tug
320219,5,Articulated Pusher Tug
320244,5,Articulated Pusher Tug
320214,5,Articulated Pusher Tug
320239,5,Articulated Pusher Tug
320230,5,Articulated Pusher Tug
320241,5,Articulated Pusher Tug
320247,5,Articulated Pusher Tug
320218,5,Articulated Pusher Tug
320246,5,Articulated Pusher Tug
320203,5,Articulated Pusher Tug
320208,5,Articulated Pusher Tug
320245,5,Articulated Pusher Tug
320242,5,Articulated Pusher Tug
320226,5,Articulated Pusher Tug
320243,5,Articulated Pusher Tug
320215,5,Articulated Pusher Tug
320211,5,Articulated Pusher Tug
320250,5,Articulated Pusher Tug
320224,5,Articulated Pusher Tug
320231,5,Articulated Pusher Tug
320248,5,Articulated Pusher Tug
320212,5,Articulated Pusher Tug
320204,5,Articulated Pusher Tug
320209,5,Articulated Pusher Tug
320202,5,Articulated Pusher Tug
81235,6,Asphalt/bitumen Tanker
81223,6,Asphalt/bitumen Tanker
81209,6,Asphalt/bitumen Tanker
81238,6,Asphalt/bitumen Tanker
380240,6,Asphalt/bitumen Tanker
380242,6,Asphalt/bitumen Tanker
81242,6,Asphalt/bitumen Tanker
380247,6,Asphalt/bitumen Tanker
81234,6,Asphalt/bitumen Tanker
81246,6,Asphalt/bitumen Tanker
380241,6,Asphalt/bitumen Tanker
380212,6,Asphalt/bitumen Tanker
81236,6,Asphalt/bitumen Tanker
81213,6,Asphalt/bitumen Tanker
81247,6,Asphalt/bitumen Tanker
380244,6,Asphalt/bitumen Tanker
380236,6,Asphalt/bitumen Tanker
81205,6,Asphalt/bitumen Tanker
380205,6,Asphalt/bitumen Tanker
380249,6,Asphalt/bitumen Tanker
380207,6,Asphalt/bitumen Tanker
81207,6,Asphalt/bitumen Tanker
380213,6,Asphalt/bitumen Tanker
380209,6,Asphalt/bitumen Tanker
380202,6,Asphalt/bitumen Tanker
380238,6,Asphalt/bitumen Tanker
81218,6,Asphalt/bitumen Tanker
81233,6,Asphalt/bitumen Tanker
380246,6,Asphalt/bitumen Tanker
81211,6,Asphalt/bitumen Tanker
380219,6,Asphalt/bitumen Tanker
380245,6,Asphalt/bitumen Tanker
81237,6,Asphalt/bitumen Tanker
380230,6,Asphalt/bitumen Tanker
380226,6,Asphalt/bitumen Tanker
380225,6,Asphalt/bitumen Tanker
380229,6,Asphalt/bitumen Tanker
81212,6,Asphalt/bitumen Tanker
81203,6,Asphalt/bitumen Tanker
81230,6,Asphalt/bitumen Tanker
81229,6,Asphalt/bitumen Tanker
81249,6,Asphalt/bitumen Tanker
380221,6,Asphalt/bitumen Tanker
81222,6,Asphalt/bitumen Tanker
