229678,158868,0
30769,355707,0
334315,61959,0
312646,285680,0
257458,211277,0
73929,184472,0
2665,367930,0
41111,236093,0
214663,337916,0
235433,67578,0
116962,241907,0
15212,172563,0
353143,274474,0
361711,41199,0
194886,270731,0
16760,134088,0
398873,91900,0
231468,216983,0
303312,50057,0
319145,297874,0
218829,313999,0
342443,137469,0
44111,313845,0
141939,387126,0
348049,138701,0
220032,215723,0
367896,194241,0
27687,19756,0
168584,189701,0
82607,253376,0
128658,306310,0
21225,174649,0
186887,159236,0
48744,246793,0
251589,269505,0
75070,27700,0
82910,313733,0
147123,51477,0
31570,32793,0
268148,249625,0
261464,339645,0
62450,194070,0
140631,285399,0
41144,8376,0
159776,331417,0
233322,315701,0
245681,333648,0
289276,394503,0
300449,53388,0
22614,367915,0
137983,306749,0
120904,228021,0
210563,39420,0
268959,374285,0
3882,409,0
214819,179868,0
362482,5189,0
144291,118408,0
320410,212719,0
327212,136987,0
177142,294250,0
37247,261158,0
18931,163073,0
311466,385435,0
175596,108950,0
103262,260020,0
367311,396779,0
341575,314569,0
257484,141497,0
112990,90633,0
51078,152138,0
316838,98187,0
309021,337144,0
150703,115787,0
83052,232309,0
312739,42980,0
208969,325340,0
168975,266260,0
108055,185942,0
296055,270274,0
335768,120242,0
343521,59790,0
54473,111444,0
138400,317756,0
353094,205484,0
96305,154123,0
354277,121556,0
63494,122880,0
213969,99520,0
380599,5589,0
382795,22206,0
387428,324412,0
173070,105236,0
250874,387749,0
72216,348482,0
308779,189735,0
191898,214374,0
352327,1244,0
116985,252290,0
150980,375474,0
370910,275442,0
134447,143337,0
156811,258494,0
72732,119884,0
304363,333618,0
104532,188720,0
68394,147003,0
228914,176115,0
75725,176078,0
267042,71069,0
244753,118164,0
49953,299113,0
232678,115861,0
344441,119114,0
361344,217039,0
257490,328259,0
72700,25650,0
132024,15658,0
154813,248721,0
62949,6083,0
295566,2874,0
329325,267534,0
180148,31741,0
17594,374824,0
280244,189649,0
177935,18186,0
144425,180451,0
122231,321091,0
39709,336869,0
334405,75636,0
291054,336374,0
14786,278666,0
328979,366178,0
112947,278640,0
166228,279245,0
240625,29928,0
35687,194916,0
273635,84717,0
125306,25403,0
366588,297884,0
371246,239968,0
196308,53502,0
233821,358152,0
174409,105150,0
99914,41733,0
135662,295974,0
251849,368981,0
306746,211582,0
391042,383973,0
282581,351395,0
390158,217218,0
120950,280515,0
335130,25519,0
314613,393824,0
390015,58655,0
57727,398810,0
335834,6141,0
367857,300583,0
246368,260650,0
9281,197539,0
289486,50303,0
18802,272953,0
311756,368331,0
23659,314270,0
56958,333626,0
268659,30392,0
345874,256583,0
369784,138893,0
173947,248099,0
326575,387532,0
203927,212393,0
131598,308641,0
217253,314410,0
268309,180307,0
381763,250185,0
132395,44036,0
289696,88804,0
272536,299796,0
249624,349714,0
385397,101706,0
372094,97436,0
153919,87227,0
211123,301396,0
331229,183849,0
383298,75218,0
307740,374815,0
128562,44898,0
119171,324048,0
175572,162059,0
240306,85997,0
219498,273505,0
26058,107393,0
38466,357917,0
155892,330399,0
168021,253980,0
21290,91023,0
108384,203784,0
61000,383435,0
94489,67213,0
185541,212395,0
251560,243260,0
104966,253672,0
101248,1240,0
334769,207210,0
115396,134879,0
191312,118887,0
72663,174926,0
343788,166864,0
361932,342513,0
295857,387568,0
372330,357316,0
35224,291492,0
75804,171313,0
91477,306748,0
42044,357315,0
50491,15948,0
42971,235796,0
194362,26229,0
27242,296603,0
99074,304066,0
246105,338013,0
26730,94180,0
112888,169703,0
351581,87153,0
834,393952,0
186761,384311,0
381456,168202,0
371860,204402,0
253368,230635,0
288652,153357,0
311071,6478,0
6221,241728,0
134720,73281,0
88085,119182,0
109904,99225,0
181568,395994,0
25993,351226,0
397688,21559,0
74849,159243,0
96229,387893,0
196423,180742,0
38642,173823,0
48187,387165,0
50155,59785,0
154057,383838,0
103297,336976,0
299599,355119,0
172353,271947,0
380052,299116,0
42515,159698,0
105854,380112,0
281999,2118,0
156736,106886,0
245889,87679,0
8173,118349,0
67346,85440,0
20433,42619,0
134322,387590,0
48090,12356,0
295899,350459,0
3875,91562,0
52077,73052,0
336163,358372,0
303412,160263,0
390758,245131,0
98500,238119,0
340688,212034,0
111146,73799,0
320439,247145,0
174345,142434,0
257455,350111,0
83481,84640,0
11177,68006,0
328706,234460,0
3860,246439,0
341550,323222,0
189433,270978,0
382795,53350,0
170381,391161,0
46059,62189,0
233542,339420,0
14266,217605,0
344845,246902,0
90391,133193,0
14622,321909,0
134842,94061,0
183634,397378,0
89275,202136,0
128679,163401,0
275041,21348,0
335448,398221,0
63045,101788,0
359186,23152,0
125949,51732,0
57830,158859,0
50391,46988,0
14704,343341,0
192484,299280,0
